epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,2182.73,1.39696,1.78293,1.50454,0.78081,0.6875,0.80273,0.43047,1.19156,1.33998,1.54469,0.0008012,0.0008012,0.0008012
62,2227.8,1.44345,1.75768,1.50041,0.7677,0.7193,0.86603,0.481,1.13872,1.28636,1.52393,0.00078122,0.00078122,0.00078122
63,2262.85,1.41526,1.75946,1.51849,0.62804,0.70175,0.76811,0.43514,1.15845,1.36339,1.54362,0.00076124,0.00076124,0.00076124
64,2295.46,1.41714,1.72377,1.46063,0.6029,0.7193,0.66179,0.37429,1.22404,1.45967,1.5857,0.00074126,0.00074126,0.00074126
65,2331.59,1.385,1.70946,1.46201,0.65048,0.77193,0.70081,0.39005,1.15989,1.45067,1.54278,0.00072128,0.00072128,0.00072128
66,2371.5,1.39711,1.72287,1.48412,0.65166,0.78947,0.78966,0.40904,1.23832,1.40115,1.56647,0.0007013,0.0007013,0.0007013
67,2405.67,1.39097,1.75737,1.50218,0.70165,0.87719,0.86845,0.46986,1.20283,1.33212,1.55572,0.00068132,0.00068132,0.00068132
68,2439.2,1.37194,1.67349,1.44875,0.79369,0.87743,0.90265,0.54663,1.15106,1.21621,1.51782,0.00066134,0.00066134,0.00066134
69,2466.05,1.44737,1.71366,1.52237,0.84703,0.91228,0.95042,0.60988,1.15437,1.14737,1.51457,0.00064136,0.00064136,0.00064136
70,2512.16,1.41921,1.71584,1.52852,0.8481,0.88161,0.95051,0.597,1.13118,1.19325,1.49731,0.00062138,0.00062138,0.00062138
71,2548.54,1.35154,1.66595,1.43632,0.77506,0.7859,0.87771,0.53742,1.06322,1.25414,1.45728,0.0006014,0.0006014,0.0006014
72,2583.87,1.39244,1.7531,1.49701,0.8424,0.6565,0.83376,0.4861,1.1317,1.30256,1.50531,0.00058142,0.00058142,0.00058142
73,2610.32,1.33658,1.66291,1.44909,0.66836,0.73684,0.78708,0.4898,1.11316,1.30289,1.50065,0.00056144,0.00056144,0.00056144
74,2642.13,1.38085,1.68558,1.51332,0.78112,0.87719,0.895,0.54316,1.12122,1.19653,1.54158,0.00054146,0.00054146,0.00054146
75,2677.17,1.34096,1.59837,1.44596,0.73675,0.84211,0.87414,0.51725,1.11363,1.19576,1.52654,0.00052148,0.00052148,0.00052148
76,2720.69,1.3882,1.62633,1.45855,0.65865,0.85965,0.77283,0.50022,1.07511,1.21559,1.48591,0.0005015,0.0005015,0.0005015
77,2760.64,1.33553,1.592,1.42629,0.69523,0.84047,0.81558,0.51088,1.09803,1.20893,1.49246,0.00048152,0.00048152,0.00048152
78,2791.53,1.33598,1.58995,1.4364,0.71086,0.77193,0.79613,0.4716,1.1317,1.32624,1.48319,0.00046154,0.00046154,0.00046154
79,2829.78,1.29591,1.59911,1.41539,0.7551,0.82456,0.86933,0.54533,1.06236,1.21531,1.4546,0.00044156,0.00044156,0.00044156
80,2865.91,1.32152,1.54946,1.39742,0.80671,0.80545,0.87699,0.55364,1.0408,1.19281,1.45551,0.00042158,0.00042158,0.00042158
81,2906.51,1.28627,1.53005,1.40109,0.78295,0.88607,0.89546,0.53767,1.03437,1.20023,1.44987,0.0004016,0.0004016,0.0004016
82,2967.32,1.30614,1.53225,1.41565,0.84857,0.88486,0.92228,0.55046,1.05818,1.18914,1.46157,0.00038162,0.00038162,0.00038162
83,3009.19,1.31227,1.51147,1.43743,0.83853,0.91228,0.92507,0.55884,1.07489,1.16427,1.46849,0.00036164,0.00036164,0.00036164
84,3051.29,1.28877,1.57338,1.42975,0.76547,0.9162,0.83837,0.52377,1.07831,1.19192,1.4651,0.00034166,0.00034166,0.00034166
85,3085.43,1.30646,1.536,1.43818,0.72701,0.88776,0.78827,0.49334,1.0838,1.23163,1.46919,0.00032168,0.00032168,0.00032168
86,3115.84,1.26935,1.44718,1.37813,0.75684,0.75439,0.84464,0.52929,1.08181,1.17966,1.47743,0.0003017,0.0003017,0.0003017
87,3143.09,1.32803,1.56853,1.44931,0.88294,0.82456,0.91592,0.55643,1.08302,1.15485,1.48611,0.00028172,0.00028172,0.00028172
88,3175.71,1.26727,1.47141,1.40611,0.8984,0.77568,0.91403,0.57561,1.07647,1.15289,1.47925,0.00026174,0.00026174,0.00026174
89,3209.65,1.26956,1.47713,1.4109,0.8658,0.79232,0.90649,0.58039,1.0399,1.14869,1.45129,0.00024176,0.00024176,0.00024176
